date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:49	67/67	---M--	200	added ('OK')	text/plain	etag:%2243-563f12d8a4554%22	http://insta.tflop.ru/robots.txt		(from )
16:23:53	42753/42753	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Sep%202018%2013:23:51%20GMT	http://insta.tflop.ru/	C:/Users/Lenovo/Desktop/1/insta.tflop.ru/index.html	(from )
16:23:54	2577/2577	---M--	200	added ('OK')	image/png	etag:%225ade3b67-a11%22	http://s2.tflop.ru/img/ic/itr_logo_57x57.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_57x57.png	(from http://insta.tflop.ru/)
16:23:55	56175/56175	---M--	200	added ('OK')	image/jpeg	etag:%225ade3b67-db6f%22	http://s2.tflop.ru/img/ic/logo_big.jpg	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/logo_big.jpg	(from http://insta.tflop.ru/)
16:23:57	2790/2790	---M--	200	added ('OK')	image/png	etag:%225ade3b67-ae6%22	http://s2.tflop.ru/img/ic/itr_logo_60x60.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_60x60.png	(from http://insta.tflop.ru/)
16:23:57	3170/3170	---M--	200	added ('OK')	image/png	etag:%225ade3b67-c62%22	http://s2.tflop.ru/img/ic/itr_logo_72x72.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_72x72.png	(from http://insta.tflop.ru/)
16:23:58	3483/3483	---M--	200	added ('OK')	image/png	etag:%225ade3b67-d9b%22	http://s2.tflop.ru/img/ic/itr_logo_76x76.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_76x76.png	(from http://insta.tflop.ru/)
16:23:58	5065/5065	---M--	200	added ('OK')	image/png	etag:%225ade3b67-13c9%22	http://s2.tflop.ru/img/ic/itr_logo_114x114.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_114x114.png	(from http://insta.tflop.ru/)
16:23:58	5415/5415	---M--	200	added ('OK')	image/png	etag:%225ade3b67-1527%22	http://s2.tflop.ru/img/ic/itr_logo_120x120.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_120x120.png	(from http://insta.tflop.ru/)
16:23:59	6356/6356	---M--	200	added ('OK')	image/png	etag:%225ade3b67-18d4%22	http://s2.tflop.ru/img/ic/itr_logo_144x144.png	C:/Users/Lenovo/Desktop/1/s2.tflop.ru/img/ic/itr_logo_144x144.png	(from http://insta.tflop.ru/)
